
screws_spawned,screws_collected,forest_fish_collisions,forest_out_of_bounds,forest_5_screws_collected,forest_approaches,target_rt_median,target_rt_cv,forest_keys,forest_key_gap_mean,forest_key_gap_cv,river_fish_collisions,river_out_of_bounds,river_win,river_approaches,river_keys,river_key_gap_mean,river_key_gap_cv,dwarf_enters,dwarf_wm_rt_median,dwarf_wm_rt_cv,dwarf_correct,dwarf_incorrect,noise
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2,1,1,10,117,0.7815511565130558,2.1030779943862923,0,0.0,0.0,0,0,1
71,32,0,2,1,69,4.958575094848391,0.6436117707232465,227,0.32909246981473406,4.1148272198246545,2,1,0,20,112,0.9273549414507531,6.0006582454065285,0,0.0,0.0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
51,24,1,1,1,86,3.921680104766493,0.23561623935102932,217,0.0,6.899220748684334,1,2,0,19,119,0.7609043330403661,1.4796976125385242,0,0.0,0.0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
55,32,1,4,1,88,3.852394949945017,0.683912430186616,218,1.2816760300658416,4.086610752173211,1,0,0,22,103,0.7409658221638413,1.4999347533810599,0,0.0,0.0,0,0,0
65,29,3,3,1,73,3.262477882257157,0.438497279358082,219,0.45641097910300943,19.015132364318912,0,0,1,24,107,0.4796644885573207,5.433280627895611,0,0.0,0.0,0,0,0
63,17,1,2,1,99,3.5996966703625772,0.7211612805117441,180,2.1218421087121033,1.1802378716033,0,0,0,0,0,0.0,0.0,3,1.0979065542888893,1.8120094769106356,6,6,0
51,24,0,2,1,73,3.6789745847021225,0.8147064975195983,199,1.1911022846239718,5.741498780071943,4,0,0,24,128,0.7721510126497338,1.4496894488114098,1,0.5713810366517402,1.0151222368172184,5,1,0
69,51,7,0,1,80,4.330176754845654,0.6110574985553893,233,1.1291557927413378,5.978407392209936,5,3,1,30,126,1.103755302638573,3.1441838964767292,0,0.0,0.0,0,0,1
67,51,3,3,1,100,4.10621833199947,0.29952042910786164,182,1.1469494329194985,8.02214602390285,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,5,0.8317016398714066,1.4471979326504452,9,5,1
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2,0,1,34,126,0.7634994846916408,0.4950377632505219,5,0.9707596949913778,0.9141049804826984,9,2,1
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1,1,1,24,151,0.5674535965718197,5.863146691462777,4,0.885171492782291,1.0704866387302896,6,3,1
75,12,3,5,1,78,3.635368031949854,0.5918913270566156,229,0.5789145646228738,2.501005986176956,3,2,0,27,141,0.5774517104567378,1.9200354203118357,3,1.1162774628380838,1.3962439498361343,7,7,1
54,18,1,1,1,64,3.4561619546903213,0.3634822105736736,209,0.8977848562729525,2.778337997580223,0,0,1,16,129,0.6060350066422886,1.6849755659050767,5,1.066557956708498,0.5193028071076992,4,6,0
73,14,4,3,1,96,4.108594434988138,0.454899754493488,234,1.9583937727870886,5.518623490367326,3,3,1,35,146,1.327456128607478,3.4458490421399968,3,0.6581117705652939,1.5065688050264774,10,4,1
43,6,0,5,1,81,3.3499919630920685,0.6954603146653368,191,1.4537575240173477,5.863956879485878,2,4,1,23,122,1.2083830739073849,0.9757984482824423,0,0.0,0.0,0,0,0
71,14,5,2,1,73,4.061407514750373,0.952870577481719,223,0.9564651952611939,7.5976628768353685,0,0,0,0,0,0.0,0.0,2,0.6257974634199169,0.8479423311321433,7,5,0
68,7,1,1,1,77,4.975755022252623,0.6782232029041579,201,1.5585352516660689,1.658543234671672,0,1,0,17,103,0.5275699746648952,3.9420748769854335,1,0.3619206963901739,0.5453688896156723,8,7,0
74,23,0,3,1,91,4.392253571637915,0.526171622577158,258,1.8238903424250985,6.47103656259965,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,2,0.771291146914639,0.6843457111175976,6,9,1
51,27,1,1,1,94,3.730007230662183,0.6456809616884149,216,1.2471148946455943,4.33963199005801,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
49,2,0,4,0,83,2.768508096757885,0.7750737053743646,179,1.5573356278350496,1.735023056155065,0,0,0,0,0,0.0,0.0,1,1.153896464705139,0.7600198521676658,10,2,0
82,52,0,4,1,87,3.600283621752571,0.42629153722034274,246,1.3646421895599894,2.837970472551828,0,3,0,31,144,1.1500454654161696,4.444092966090232,3,1.0585037062940519,0.6379217394825784,7,5,1
59,35,1,2,1,77,4.217705265938057,0.6838303858293779,238,1.1526042511867034,3.90338667281924,4,2,0,36,137,0.908924864527739,2.737279615813307,4,0.5398599678494141,0.9772467035752088,6,2,0
61,44,2,1,1,83,4.429176254722385,0.6747458265931566,236,1.963339044158255,6.444548211016671,0,1,1,17,93,0.9507405027695935,2.071729227482467,2,0.7778994305003005,1.2995650709572464,1,1,0
67,64,3,2,1,96,5.210930564291091,0.5392935319968952,225,1.6873885267149822,6.766239758553892,0,0,0,0,0,0.0,0.0,4,1.1504376264110538,2.307012557287572,7,4,1
51,37,4,3,1,76,3.7511597791451,0.2814468728635905,198,0.5377556772320962,0.2815731811696968,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
59,48,5,2,1,88,3.0052352168926673,0.23885496429745579,194,1.6858885721273527,4.553583050167735,3,0,1,21,126,0.7098550518702775,3.541813540879863,0,0.0,0.0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,1
49,6,3,2,1,85,3.485381007441891,0.6447316735590666,188,1.5432741919167696,7.222360892280301,2,5,0,21,126,0.7483146480710943,3.7528158924756507,2,0.6588836346031394,1.1257432626332422,7,4,0
80,54,1,2,1,81,4.257313202635756,0.7465751801308396,211,1.3035252275060538,2.655573152391402,3,1,1,23,135,1.145305638782546,1.0051331238074044,4,1.5131542711518167,1.9001045625208426,11,5,1
63,25,1,5,1,84,3.1116564246983174,0.40061846172122506,244,2.0314454241948345,8.954959989489781,0,0,0,0,0,0.0,0.0,7,0.6887177536550786,1.1971013444596041,11,5,1
57,19,0,2,1,93,2.6765947429115777,0.8766444288337316,188,0.9814864722135306,1.592747441787938,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
52,6,3,2,1,83,3.6394844244285913,0.23874875788573025,193,1.28688437441843,2.807374720021754,1,0,0,20,130,0.9115441440843148,4.413782457502004,0,0.0,0.0,0,0,0
64,25,1,3,1,78,4.9285251690379885,0.7200130377051522,253,0.8113940469181092,5.524031518838574,2,1,0,25,131,1.0986940262116662,8.445869196969296,0,0.0,0.0,0,0,1
64,19,2,0,1,84,2.2975330973316646,0.6073743268418222,216,1.1138485830320106,5.752372064127502,0,0,0,0,0,0.0,0.0,2,1.031470549960987,0.48195675632105595,2,1,0
76,4,3,3,0,92,3.4642695136251147,0.6515887344383933,226,1.3607643977972332,18.85526340296743,6,1,1,26,148,0.7727737790250545,3.624301119763871,0,0.0,0.0,0,0,1
54,45,3,4,1,89,2.289801513596127,0.30519766445924956,202,1.4312367319698571,6.936456916061959,0,0,0,0,0,0.0,0.0,2,0.997239257779152,1.289900465612401,7,2,0
77,25,4,4,1,83,2.810779952889763,0.5051264514699431,224,2.0652317692948654,7.560085891669011,1,1,1,38,132,0.9112360701152123,2.7988786872810056,4,0.7551158773823017,1.5433031919074296,4,7,1
79,60,3,2,1,83,2.9949265131571035,0.7081656259865581,215,0.7360195218015703,2.1048562568601814,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,1
61,13,4,1,1,86,2.796926417188599,0.5494231750765761,233,0.8581043496077625,7.726465405148779,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
77,50,1,2,1,91,3.7449566978720266,0.7196878141526794,192,1.1569961144004788,2.5706960761170286,0,0,0,0,0,0.0,0.0,6,1.2083359369446118,0.7913463990893672,2,3,1
62,36,1,2,1,98,3.66504295705045,1.0097787044405444,260,1.479896372187346,4.62221145399576,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,1
69,10,1,2,1,95,3.5173458404757842,0.7867418141168387,226,1.6114173536917902,9.14397580967471,0,0,0,0,0,0.0,0.0,4,0.5728891036279703,1.631311814003781,5,6,1
66,22,1,3,1,88,3.229500853880052,0.6793096085300431,223,0.022837539878090007,5.120543442227973,3,2,0,18,133,0.8255036462116472,2.098046941265231,0,0.0,0.0,0,0,0
65,33,5,2,1,88,4.162386485795744,0.566932906177335,221,1.6711303884364308,1.4939807469619684,0,0,0,0,0,0.0,0.0,1,0.9476789392514872,1.8143752184555486,7,1,1
63,7,2,4,1,85,5.304073996824186,0.2538467912607768,197,1.3878432984085982,2.033900432981512,0,0,0,0,0,0.0,0.0,4,0.30958226074288836,1.3152744416762125,3,3,0
82,33,3,2,1,103,4.67769728081841,0.8962735959935106,240,2.094088961549946,7.040132505289018,2,1,0,17,138,1.1164766690266934,3.781007310313711,0,0.0,0.0,0,0,1
85,37,5,3,1,97,3.6308234363649876,1.1136739130281803,231,1.6310576074442755,1.0122333122105862,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,1
67,24,1,3,1,101,3.090030813369747,0.6481656121665028,197,0.8129469742029755,7.406336069420647,2,0,0,37,148,0.8771944004061227,1.804495773721839,0,0.0,0.0,0,0,1
72,32,0,1,1,88,4.0238605282312,0.35087916426802124,220,1.3271115413509964,1.5450305998420193,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,1
61,20,2,0,1,90,3.1779832394224097,0.7120952499751378,213,1.0663394261212817,3.099612825306151,2,3,1,15,124,1.0932015861014452,1.928964187292456,4,1.4379523586391922,1.22134735319252,8,4,0
68,47,2,3,1,78,3.910058920969638,0.4642484331886365,184,1.9042364008944364,5.364162245171382,0,0,0,0,0,0.0,0.0,3,0.3962029847272046,1.1693367535067327,3,4,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3,2,1,24,150,0.9799362894074805,8.707780874312085,0,0.0,0.0,0,0,1
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1,1,1,20,132,1.014588812533182,5.748333485663538,3,0.8418539269272806,1.5036925431261006,10,7,0
62,43,1,1,1,79,3.9060978972989076,0.10128013576340622,246,0.8702229043158292,3.70817836332972,0,0,0,0,0,0.0,0.0,4,0.5182220714441592,1.0337750616118577,5,2,0
59,12,3,2,1,78,4.880388758488465,0.6748496300409016,225,1.2333093693652162,4.4437589318465855,5,3,0,16,126,0.9327227330936572,6.899904087466356,3,0.6587275239829102,1.6169279166069201,7,3,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,5,1.158747423369348,1.4062027067484653,9,1,1
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3,1,1,32,137,0.7747810627860314,3.3926079638970252,3,1.1077186196913196,1.7531408216231799,6,4,0
59,14,1,1,1,67,2.840240854504609,0.2467854587649534,202,1.289290514943644,0.17450320893052831,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
56,35,1,1,1,88,4.154334067494737,0.38587659404502933,251,1.0695151329561523,2.6539025675472514,1,2,0,24,146,1.2209977632633102,6.894594266987446,2,1.1824976216505663,2.0136966120727173,6,3,1
48,23,3,0,1,77,3.5449477313567126,0.6296747822599489,220,0.6441501424181415,4.567175463405478,0,0,0,0,0,0.0,0.0,2,0.6784562775577202,1.1238860692914323,6,3,1
67,9,2,3,1,84,3.5150149366135492,0.46541982685938893,220,1.240119453924894,8.271371803013698,2,0,1,20,100,0.8012721430094315,0.6804380220268471,2,0.9517313106431293,1.4232147980777865,6,5,0
63,21,1,1,1,92,3.847224774353642,0.5149757622144189,184,0.855281348135501,1.353755526731087,4,1,1,20,121,0.9282669302506734,1.3022415431816399,3,0.598300097556282,1.251864546137024,8,3,0
60,7,3,4,1,87,3.3948366489345876,0.5396044115816927,188,1.5038942691545985,1.5411456717783758,0,1,0,16,107,0.7036396529638834,6.041999546602506,0,0.0,0.0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,4,1.062727538549787,0.8117076179102802,9,9,1
56,12,4,3,1,70,3.497498524142409,0.7329068295931803,226,1.4351692949504662,7.845825747456971,2,2,0,31,135,1.086632036500928,5.343872059317301,2,1.262774476502313,0.8067876449331308,9,4,1
57,28,2,1,1,76,4.149695861856469,0.5888697081384249,218,1.5518617239813635,10.606762476570402,2,1,1,15,130,1.0367220420423369,2.2074610900306677,5,1.0937999197869428,1.2667982393704913,5,3,0
61,27,3,0,1,89,3.780785506855058,0.7852657875369775,215,2.1384555742470472,5.714320012118944,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,1
47,43,1,2,1,71,4.4375293113014145,0.7066848262834629,197,2.0939628558741044,2.4976309768660316,1,1,1,25,127,0.7872319463853965,1.2348162122073922,3,0.8021202570624162,0.4799912108534877,6,2,1
53,25,1,1,1,80,4.46755967631231,0.8286743738013536,187,1.7947364449987222,7.655920693812797,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1,1,1,29,142,1.167415954833268,7.334012569402248,5,1.3818033153924278,1.2034848023331277,8,2,1
77,67,2,4,1,86,3.2981871914273877,0.8271132822518394,239,1.6244568897814566,8.601776668366917,1,2,1,33,134,1.0044915916380774,9.787505675619625,4,0.39304921537050685,1.5446126622335765,9,5,1
74,25,2,2,1,83,3.1743011255577773,0.5898212040946081,232,2.295725843933866,7.124645970843293,0,0,0,0,0,0.0,0.0,4,1.617462833833465,1.477824563782933,8,2,1
72,21,2,3,1,72,2.3265667666691154,0.25714206464077405,201,1.3632065535688647,2.421108957383054,0,0,0,0,0,0.0,0.0,4,1.179720703948501,1.1973365026686966,8,4,0
69,17,3,2,1,100,4.463101501789236,0.5856190766948626,228,0.8758936016315226,4.63014837864875,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,1
73,45,3,1,1,91,4.682288834099137,0.3742077583546206,253,1.6296009386845607,0.05345234288231553,0,0,0,0,0,0.0,0.0,1,0.6145068635790919,1.3364873218234694,5,3,0
66,40,2,0,1,70,3.8388697543468617,0.48796412720328025,207,0.8383031147986966,8.4625672872085,3,3,1,19,129,1.0945955392866025,3.798260806615395,4,0.4644053845706398,1.7056506711306676,6,3,1
69,38,1,0,1,80,3.970619529650283,0.1978418303932894,194,0.571668562587428,1.2702918491409874,0,0,0,0,0,0.0,0.0,1,0.7113540617227457,0.9101799746919381,9,4,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2,0,0,28,128,0.9508600331839565,1.299655281253908,4,1.051365362734841,1.1176317498034873,8,7,1
69,50,3,0,1,89,4.441789805426313,0.8252004346217917,226,0.32299445851587816,17.786295697526114,0,0,0,0,0,0.0,0.0,4,0.0,1.4477062713744826,5,4,1
77,45,6,1,1,85,4.895859126728013,0.7462793837793222,222,2.008411142185219,17.972386056408123,3,2,1,29,157,0.8753447964806536,3.332516276408603,4,0.4389313920049746,1.6203865147292404,7,6,1
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,4,1,1,35,139,1.3251988120732885,6.935947113907002,3,1.464639642859614,2.132510966345941,5,5,1
60,14,4,2,1,84,3.2747396141579617,0.8565160388807324,184,1.6441924718154297,4.8984123218890705,3,2,1,35,136,0.5871393565955074,2.509154625013705,0,0.0,0.0,0,0,0
62,13,1,0,1,89,3.6539495918051994,0.7242805432624608,245,2.2283601525013372,3.491207024256136,0,0,0,0,0,0.0,0.0,2,0.7750491796353527,1.1476984658955032,9,4,1
67,41,0,2,1,109,3.621630518659673,0.5549645312598629,239,0.3814605530404689,4.287250606726341,0,0,0,0,0,0.0,0.0,3,1.1880268518865384,1.1636993708191485,4,6,1
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1,1,1,20,119,0.916912474054637,5.336841564947904,0,0.0,0.0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,11,0.5907429154200434,1.0356183863404969,7,6,1
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,1,0,23,115,0.5182260905071536,0.7527405661281203,0,0.0,0.0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,4,0.8943904844047533,1.5691350484176885,10,5,1
58,13,2,3,1,72,4.271548908682519,0.44187528370639617,208,1.0544414071820074,5.8773846550094895,0,0,0,0,0,0.0,0.0,3,0.7304482675777175,1.2330875077650838,6,1,0
88,75,2,4,1,88,3.37179925209282,0.41664731790494813,229,1.6992075616851052,3.7695613038172784,2,4,1,25,135,1.0995545034479812,1.3694591068996855,0,0.0,0.0,0,0,1
66,39,1,4,1,89,3.0891194123393775,0.4987841037798222,215,0.8290902549121648,2.561888130910414,1,0,1,30,116,0.9388097363019432,2.6212419327324405,0,0.0,0.0,0,0,0
59,18,0,1,1,86,4.297917975283903,0.5904282553177277,192,1.9573990251557705,1.1551756785938159,0,2,1,23,128,0.7927781416353437,1.8916075917868302,0,0.0,0.0,0,0,0
70,29,3,3,1,80,3.044697865289663,0.5617344142275333,211,2.320320175270794,2.7920027844762583,1,0,0,16,120,0.6058666118155172,11.287184504614062,1,0.2584901352519666,0.9246707213020371,8,5,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,4,0.6005344147133602,1.7536930588849136,6,3,0
71,34,1,2,1,86,3.4795681136404575,0.47989784417396036,216,1.9427769678352496,6.694891160398615,0,0,0,0,0,0.0,0.0,11,0.5995725432646228,1.192502707169977,9,7,1
59,38,1,1,1,96,3.236125669142314,0.727525568654217,190,2.6932633817796754,1.0796612096996452,0,0,0,0,0,0.0,0.0,4,0.5413278107765029,0.6891485937055748,6,7,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2,0,1,24,154,1.0351520759372161,2.36857910812561,0,0.0,0.0,0,0,0
68,38,3,3,1,107,3.972485389065033,0.48255590025861517,239,1.6531522701791221,0.06541797224194516,1,1,0,22,140,0.802613669722506,3.120958219060928,0,0.0,0.0,0,0,1
67,18,1,1,1,78,2.6378109166864605,0.6654035833505426,210,1.2679135272737265,2.901393431094203,1,3,0,21,125,0.9279004679744056,2.750763951245488,1,1.0273434465589755,0.7126763256323946,5,4,0
